company_name,rating_overall,review_count,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quantity,rating_punctuality
Liên Hưng,4.0,12922,4.3,4.2,4.3,4.1,4.0,3.9,4.2
Ngàn Hà,3.8,61,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Mạnh Hùng,3.1,289,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Quang Hạnh,3.6,362,4.1,3.7,3.9,3.9,3.8,3.6,3.6
Mạnh Hùng,2.8,300,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Phúc Yên,4.6,741,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Mộc Thảo,4.6,1665,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Thuận Phát,5.0,67,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Sao Limousine,4.1,11,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Hoàng Huy,4.3,7,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Phúc An Express,4.7,3425,4.8,4.7,4.7,4.7,4.6,4.6,4.7
Quỳnh Nhật,3.7,279,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
