company_name,departure_time,pickup_point,dropoff_point,start_point,destination,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quality,rating_punctuality,rating_overall,reviewer_count,number_of_seat,price_original,price_discounted,discounted_percentage,departure_date,duration_minutes
Bảo Ngọc Limousine,17:00:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.8,4.9,4.9,4.9,4.2,4.2,5.0,4.2,18,32,220000,0,0.0,15-10-2025,145
36 Limousine,15:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,05:30:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,18:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
Thành Trung Limousine,15:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Thành Trung Limousine,19:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Đức Phát,20:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,16:00:00,Văn phòng,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,15-10-2025,150
Đức Phát,08:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Thành Trung Limousine,14:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Thơm Phụng,10:00:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,200000,0,0.0,15-10-2025,135
Vân Anh Limousine,11:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,15-10-2025,180
Vĩnh Quang,17:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Thơm Phụng,13:30:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,200000,0,0.0,15-10-2025,135
Vĩnh Quang,20:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Vĩnh Quang,12:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Vân Anh Limousine,17:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,15-10-2025,180
36 Limousine,10:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,14:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,08:01:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
Đức Phát,15:00:00,Văn phòng,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,15-10-2025,150
Đức Phát,18:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,06:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Thành Trung Limousine,18:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Thành Trung Limousine,11:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Vĩnh Quang,21:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Vĩnh Quang,06:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Vĩnh Quang,08:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Vân Anh Limousine,16:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,15-10-2025,180
Bình Hoài Limousine,18:00:00,Văn phòng,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,170
Thành Trung Limousine,17:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Vân Anh Limousine,13:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,15-10-2025,180
Thơm Phụng,12:00:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,34,150000,0,0.0,15-10-2025,135
Thơm Phụng,18:30:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,200000,0,0.0,15-10-2025,135
Bình Hoài Limousine,18:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,140
Bình Hoài Limousine,06:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,140
An Phát,07:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,15-10-2025,180
An Phát,12:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,15-10-2025,180
An Phát,15:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,15-10-2025,180
Thơm Phụng,21:30:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,250000,0,0.0,15-10-2025,135
FUTA HÀ SƠN,05:30:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.7,4.8,4.8,4.8,4.7,4.8,4.8,318,34,200000,0,0.0,15-10-2025,120
FUTA HÀ SƠN,17:30:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.7,4.8,4.8,4.8,4.7,4.8,4.8,318,34,200000,0,0.0,15-10-2025,120
FUTA HÀ SƠN,14:30:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.9,4.7,4.8,4.8,4.8,4.7,4.8,4.8,318,34,200000,0,0.0,15-10-2025,120
Thăng Long,23:55:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.8,4.7,4.8,4.7,4.4,4.5,4.8,4.6,438,40,200000,0,0.0,15-10-2025,180
Thăng Long,21:30:00,Other,Other,Hà Nội,Thanh Hóa,4.8,4.7,4.8,4.7,4.4,4.5,4.8,4.6,438,40,200000,0,0.0,15-10-2025,285
Nam Quỳnh Anh,20:35:00,Other,Other,Hà Nội,Thanh Hóa,4.5,4.3,4.5,4.2,4.2,4.2,4.7,4.2,2035,22,370000,0,0.0,15-10-2025,295
Nam Quỳnh Anh,20:25:00,Other,Other,Hà Nội,Thanh Hóa,4.5,4.3,4.5,4.2,4.2,4.2,4.7,4.2,2035,22,370000,0,0.0,15-10-2025,305
Nam Quỳnh Anh,23:00:00,Other,Other,Hà Nội,Thanh Hóa,4.5,4.3,4.5,4.2,4.2,4.2,4.7,4.2,2035,22,350000,0,0.0,15-10-2025,210
HM Happycar,08:00:00,Other,Other,Hà Nội,Thanh Hóa,4.6,4.5,4.6,4.5,4.6,4.5,4.6,4.6,264,24,300000,0,0.0,15-10-2025,180
Phú Quý,15:45:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.4,4.3,4.4,4.5,4.1,4.2,4.9,4.3,468,36,260000,0,0.0,15-10-2025,180
Phú Quý,22:30:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.4,4.3,4.4,4.5,4.1,4.2,4.9,4.3,468,32,300000,0,0.0,15-10-2025,180
Phú Quý,17:05:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.4,4.3,4.4,4.5,4.1,4.2,4.9,4.3,468,40,260000,0,0.0,15-10-2025,180
Bảo Ngọc Limousine,18:20:00,Bến xe,Other,Hà Nội,Thanh Hóa,4.8,4.9,4.9,4.9,4.2,4.2,5.0,4.2,18,32,220000,0,0.0,15-10-2025,145
36 Limousine,19:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,09:01:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,13:01:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,15:01:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,08:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,13:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
36 Limousine,20:01:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
Đức Phát,11:00:00,Văn phòng,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,15-10-2025,150
Đức Phát,17:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,15:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,16:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Vĩnh Quang,19:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Đức Phát,17:00:00,Văn phòng,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,15-10-2025,150
Vĩnh Quang,13:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Đức Phát,10:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,12:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,14:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,07:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,04:35:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,16:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,13:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,19:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Bình Hoài Limousine,13:00:00,Văn phòng,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,170
Đức Phát,17:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,180
Đức Phát,20:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Vân Anh Limousine,20:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,15-10-2025,180
Đức Phát,15:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,180
Vân Anh Limousine,14:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,15-10-2025,180
Đức Phát,21:00:00,Văn phòng,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,15-10-2025,150
Vân Anh Limousine,11:30:00,Bến xe,Văn phòng,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,15-10-2025,210
Đức Phát,07:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,180
Đức Phát,11:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Vân Anh Limousine,11:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,15-10-2025,180
Vân Anh Limousine,15:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,15-10-2025,180
Bình Hoài Limousine,17:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,140
Vĩnh Quang,15:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
Đức Phát,17:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,14:05:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,21:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
Đức Phát,19:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,180
Đức Phát,19:00:00,Văn phòng,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,15-10-2025,150
Vân Anh Limousine,18:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,0,0.0,15-10-2025,180
36 Limousine,05:31:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
Thành Trung Limousine,12:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
36 Limousine,16:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
Đức Phát,06:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,200000,0,0.0,15-10-2025,150
Đức Phát,06:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,180000,0,0.0,15-10-2025,120
Thành Trung Limousine,09:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
36 Limousine,21:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,15-10-2025,150
Thành Trung Limousine,13:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Thành Trung Limousine,10:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Thành Trung Limousine,16:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,15-10-2025,120
Bình Hoài Limousine,09:00:00,Văn phòng,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,170
Bình Hoài Limousine,10:00:00,Văn phòng,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,170
Bình Hoài Limousine,11:00:00,Văn phòng,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,170
Đức Phát,22:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,15-10-2025,150
An Phát,11:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,15-10-2025,180
Bình Hoài Limousine,08:00:00,Văn phòng,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,170
Bình Hoài Limousine,08:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,140
Bình Hoài Limousine,15:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,15-10-2025,140
Vĩnh Quang,14:25:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,15-10-2025,150
An Phát,14:00:00,Văn phòng,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,15-10-2025,180
Vân Anh Limousine,19:00:00,Bến xe,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,15-10-2025,180
