company_name,number_of_seat,departure_date,departure_time,duration_minutes,pickup_point,dropoff_point,price_original,price_discounted
Phú Quý,32,15-10-2025,22:30:00,180,Bến xe,Other,300000,0
Phú Quý,40,15-10-2025,17:05:00,180,Bến xe,Other,260000,0
Bảo Ngọc Limousine,32,15-10-2025,18:20:00,145,Bến xe,Other,220000,0
36 Limousine,11,15-10-2025,19:00:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,09:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,13:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,15:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,08:00:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,13:00:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,20:01:00,150,Văn phòng,Văn phòng,230000,0
Đức Phát,11,15-10-2025,11:00:00,150,Văn phòng,Bến xe,210000,0
Đức Phát,24,15-10-2025,17:05:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,15:00:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,16:00:00,150,Bến xe,Bến xe,250000,0
Vĩnh Quang,10,15-10-2025,19:25:00,150,Văn phòng,Văn phòng,170000,0
Đức Phát,11,15-10-2025,17:00:00,150,Văn phòng,Bến xe,210000,0
Vĩnh Quang,10,15-10-2025,13:25:00,150,Văn phòng,Văn phòng,170000,0
Đức Phát,24,15-10-2025,10:00:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,12:05:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,14:00:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,07:05:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,04:35:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,16:05:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,13:05:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,19:00:00,150,Bến xe,Bến xe,250000,0
Bình Hoài Limousine,10,15-10-2025,13:00:00,170,Văn phòng,Other,230000,0
Đức Phát,24,15-10-2025,17:00:00,180,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,20:05:00,150,Bến xe,Bến xe,250000,0
Vân Anh Limousine,24,15-10-2025,20:00:00,180,Bến xe,Bến xe,230000,0
Đức Phát,24,15-10-2025,15:00:00,180,Bến xe,Bến xe,250000,0
Vân Anh Limousine,24,15-10-2025,14:00:00,180,Bến xe,Bến xe,230000,200000
Đức Phát,11,15-10-2025,21:00:00,150,Văn phòng,Bến xe,210000,0
Vân Anh Limousine,24,15-10-2025,11:30:00,210,Bến xe,Văn phòng,230000,0
Đức Phát,24,15-10-2025,07:00:00,180,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,11:00:00,150,Bến xe,Bến xe,250000,0
Vân Anh Limousine,24,15-10-2025,11:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,15:00:00,180,Bến xe,Bến xe,230000,200000
Bình Hoài Limousine,10,15-10-2025,17:00:00,140,Văn phòng,Văn phòng,230000,0
Vĩnh Quang,10,15-10-2025,15:25:00,150,Văn phòng,Văn phòng,170000,0
Đức Phát,24,15-10-2025,17:00:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,14:05:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,21:00:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,19:00:00,180,Bến xe,Bến xe,250000,0
Đức Phát,11,15-10-2025,19:00:00,150,Văn phòng,Bến xe,210000,0
Vân Anh Limousine,24,15-10-2025,18:00:00,180,Bến xe,Bến xe,230000,0
36 Limousine,11,15-10-2025,05:31:00,150,Văn phòng,Văn phòng,230000,0
Thành Trung Limousine,11,15-10-2025,12:00:00,120,Văn phòng,Văn phòng,230000,210000
36 Limousine,11,15-10-2025,16:00:00,150,Văn phòng,Văn phòng,230000,0
Đức Phát,11,15-10-2025,06:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,06:00:00,120,Văn phòng,Văn phòng,180000,0
Thành Trung Limousine,11,15-10-2025,09:00:00,120,Văn phòng,Văn phòng,230000,210000
36 Limousine,11,15-10-2025,21:00:00,150,Văn phòng,Văn phòng,230000,0
Thành Trung Limousine,11,15-10-2025,13:00:00,120,Văn phòng,Văn phòng,230000,210000
Thành Trung Limousine,11,15-10-2025,10:00:00,120,Văn phòng,Văn phòng,230000,210000
Thành Trung Limousine,11,15-10-2025,16:00:00,120,Văn phòng,Văn phòng,230000,210000
Bình Hoài Limousine,10,15-10-2025,09:00:00,170,Văn phòng,Other,230000,0
Bình Hoài Limousine,10,15-10-2025,10:00:00,170,Văn phòng,Other,230000,0
Bình Hoài Limousine,10,15-10-2025,11:00:00,170,Văn phòng,Other,230000,0
Đức Phát,24,15-10-2025,22:00:00,150,Bến xe,Bến xe,250000,0
An Phát,7,15-10-2025,11:00:00,180,Văn phòng,Văn phòng,250000,0
Bình Hoài Limousine,10,15-10-2025,08:00:00,170,Văn phòng,Other,230000,0
Bình Hoài Limousine,10,15-10-2025,08:00:00,140,Văn phòng,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,15:00:00,140,Văn phòng,Văn phòng,230000,0
Vĩnh Quang,10,15-10-2025,14:25:00,150,Văn phòng,Văn phòng,170000,0
An Phát,7,15-10-2025,14:00:00,180,Văn phòng,Văn phòng,250000,0
Vân Anh Limousine,24,15-10-2025,19:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,12:00:00,180,Bến xe,Bến xe,230000,0
Bình Hoài Limousine,10,15-10-2025,11:00:00,140,Văn phòng,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,16:00:00,170,Văn phòng,Other,230000,0
Bình Hoài Limousine,10,15-10-2025,13:00:00,140,Văn phòng,Văn phòng,230000,0
An Phát,7,15-10-2025,17:00:00,180,Văn phòng,Văn phòng,250000,0
Vĩnh Quang,10,15-10-2025,16:25:00,150,Văn phòng,Văn phòng,170000,0
Đức Phát,11,15-10-2025,07:00:00,150,Văn phòng,Bến xe,210000,0
Bình Hoài Limousine,10,15-10-2025,10:00:00,140,Văn phòng,Văn phòng,230000,0
Vĩnh Quang,10,15-10-2025,18:25:00,150,Văn phòng,Văn phòng,170000,0
Vân Anh Limousine,24,15-10-2025,18:00:00,180,Bến xe,Bến xe,230000,200000
Bình Hoài Limousine,10,15-10-2025,12:00:00,140,Văn phòng,Văn phòng,230000,0
Đức Phát,11,15-10-2025,22:00:00,150,Văn phòng,Bến xe,210000,0
Vân Anh Limousine,24,15-10-2025,14:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,22:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,22:30:00,210,Bến xe,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,17:00:00,170,Văn phòng,Other,230000,0
Vân Anh Limousine,24,15-10-2025,17:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,12:00:00,180,Bến xe,Bến xe,230000,200000
Bình Hoài Limousine,10,15-10-2025,06:00:00,170,Văn phòng,Other,230000,0
Vân Anh Limousine,24,15-10-2025,21:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,19:30:00,210,Bến xe,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,09:00:00,140,Văn phòng,Văn phòng,230000,0
