company_name,departure_time,pickup_point,arrival_time,dropoff_point,price_original,price_discounted,departure_date,start_point,destination,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quality,rating_punctuality,rating_overall,reviewer_count,number_of_seat,duration_minutes
Vương Tấn Dũng,16:45:00,Bến xe,06:00,Other,380000,320000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,386,34,795
Hoàng Thuỷ,18:45:00,Bến xe,05:45,Bến xe,350000,300000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9,4.7,3508,34,660
Kính Diên Hồng,18:40:00,Bến xe,05:40,Bến xe,350000,315000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.6,4.6,1137,34,660
Sinh Diên Hồng,17:30:00,Bến xe,04:15,Bến xe,370000,296000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.8,4.6,4.6,4.9,4.6,238,34,645
Bảy Lang,18:30:00,Bến xe,05:30,Bến xe,350000,315000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.6,4.6,4.7,4.5,4.6,4.6,4.7,279,34,660
Phong Phú,20:00:00,Văn phòng,07:45,Văn phòng,530000,399000,2025-11-17,Sài Gòn,Gia Lai,4.5,4.5,4.6,4.5,4.4,4.4,4.7,4.5,8684,24,705
Đức Đạt,20:10:00,Bến xe,06:35,Bến xe,350000,300000,2025-11-17,Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9,4.7,1030,34,625
Thuận Tiến,18:50:00,Bến xe,07:15,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.6,4.9,4.7,4958,34,745
Sáu Bản,18:45:00,Bến xe,05:25,Bến xe,350000,315000,2025-11-17,Sài Gòn,Gia Lai,4.6,4.4,4.5,4.4,4.3,4.4,4.3,4.4,485,34,640
Gia Phú - Gia Lai,18:45:00,Bến xe,05:45,Bến xe,550000,500000,2025-11-17,Sài Gòn,Gia Lai,4.5,4.3,4.4,4.5,4.3,4.2,5.0,4.4,108,22,660
Vương Tấn Dũng,17:00:00,Bến xe,06:15,Other,500000,425000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,386,24,795
Hoàng Thuỷ,18:30:00,Bến xe,05:30,Bến xe,350000,300000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9,4.7,3508,34,660
Kính Diên Hồng,19:30:00,Bến xe,07:00,Bến xe,450000,405000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.6,4.6,1137,24,690
Sinh Diên Hồng,17:45:00,Bến xe,04:45,Bến xe,380000,304000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.8,4.6,4.6,4.9,4.6,238,34,660
Thuận Tiến,18:30:00,Bến xe,06:55,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.6,4.9,4.7,4958,34,745
Đức Đạt,20:15:00,Bến xe,06:40,Bến xe,500000,450000,2025-11-17,Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9,4.7,1030,24,625
Sáu Bản,17:00:00,Bến xe,03:00,Other,280000,252000,2025-11-17,Sài Gòn,Gia Lai,4.6,4.4,4.5,4.4,4.3,4.4,4.3,4.4,485,44,600
Việt Tân Phát,17:30:00,Bến xe,06:25,Bến xe,380000,320000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.5,4.7,4.6,124,34,775
Việt Tân Phát,16:30:00,Bến xe,05:40,Bến xe,380000,320000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.5,4.7,4.6,124,34,790
Gia Phúc - Gia Lai,18:30:00,Bến xe,05:30,Bến xe,350000,300000,2025-11-17,Sài Gòn,Gia Lai,4.3,4.3,4.4,4.4,4.0,4.3,5.0,4.4,295,34,660
Thuận Ý,18:20:00,Bến xe,05:50,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.7,4.3,4.3,4.3,4.3,4.1,5.0,4.5,418,34,690
Cô Hai,16:50:00,Bến xe,07:55,Văn phòng,430000,350000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.4,4.7,4.5,4.5,4.6,4.8,4.5,201,34,905
Tấn Hưng,17:30:00,Bến xe,06:55,Văn phòng,550000,0,2025-11-17,Sài Gòn,Gia Lai,4.5,4.3,4.5,4.5,4.5,4.4,4.1,4.4,104,24,805
Vũ Cẩm,17:00:00,Bến xe,04:00,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.9,3.3,3.2,4.5,3.2,4.0,4.3,3.5,12,34,660
An Phát,17:30:00,Bến xe,07:15,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.6,4.5,4.5,4.5,4.3,4.5,4.8,4.5,380,24,825
Phương Hồng Linh,20:00:00,Văn phòng,08:30,Bến xe,300000,0,2025-11-17,Sài Gòn,Gia Lai,4.5,4.3,4.4,4.3,4.4,4.2,4.3,4.2,444,36,750
Hồng Dung,16:30:00,Bến xe,05:00,Văn phòng,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.3,4.2,4.3,4.3,4.2,4.2,5.0,5.0,6,34,750
Nhật Tân,17:00:00,Bến xe,04:30,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.2,4.0,4.2,4.3,4.0,3.8,4.3,4.0,196,32,690
Tư Phầu,17:30:00,Bến xe,04:00,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.6,4.4,4.6,4.2,4.5,4.4,4.6,4.3,109,34,630
Minh Quốc,18:30:00,Bến xe,06:00,Văn phòng,550000,520000,2025-11-17,Sài Gòn,Gia Lai,4.7,4.7,4.7,4.5,4.4,4.4,4.9,4.6,1299,24,690
Bốn Luyện Express,22:01:00,Other,09:01,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.3,4.1,4.1,4.1,4.0,3.9,4.2,4.0,258,34,660
Tuấn Hiệp,01:00:00,Other,13:50,Bến xe,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.1,3.9,4.0,3.9,3.8,3.8,4.3,4.0,1283,34,770
Tây Nguyên,17:15:00,Bến xe,01:20,Other,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.8,4.6,4.6,4.8,4.6,4.7,5.0,4.8,117,34,485
Phượng Thu,17:00:00,Bến xe,04:30,Other,350000,0,2025-11-17,Sài Gòn,Gia Lai,4.5,4.5,4.5,4.5,4.5,4.5,4.7,4.5,596,34,690
Vương Tấn Dũng,17:00:00,Bến xe,06:40,Bến xe,500000,425000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,386,24,820
Vương Tấn Dũng,17:00:00,Bến xe,04:15,Văn phòng,500000,425000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,386,24,675
Hoàng Thuỷ,18:00:00,Bến xe,05:25,Bến xe,350000,300000,2025-11-17,Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9,4.7,3508,34,685
