,bus_company_name,departure_time,pick_up_point,arrival_time,drop_of_point,start_point,destination,rating_safety,rating_info_accuracy,Thông tin đầy đủ,rating_staff_attitude,rating_comfort,rating_service_quantity,rating_punctuality,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,departure_date,duration_minutes,route
0,36 Limousine,09:00:00,Văn phòng,11:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
1,Vân Anh Limousine,13:00:00,Bến xe,16:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
2,Thành Trung Limousine,07:00:00,Văn phòng,09:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,9,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
3,Vĩnh Quang,11:25:00,Văn phòng,13:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
4,Thơm Phụng,15:30:00,Bến xe,17:45:00,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,46,150000,0,0.0,Wednesday,15-10-2025,135,Hà Nội - Thanh Hoá
5,Đức Phát,13:00:00,Văn phòng,15:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
6,Bình Hoài Limousine,15:00:00,Văn phòng,17:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170,Hà Nội - Thanh Hoá
7,An Phát,10:00:00,Văn phòng,13:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
8,FUTA HÀ SƠN,17:30:00,Bến xe,20:00:00,Other,Hà Nội,Thanh Hóa,4.9,4.7,4.8,4.8,4.8,4.7,4.8,4.8,318,34,300000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
9,Thăng Long,22:10:00,Other,02:55:00,Other,Hà Nội,Thanh Hóa,4.8,4.7,4.8,4.7,4.4,4.5,4.8,4.6,438,40,200000,0,0.0,Wednesday,15-10-2025,285,Hà Nội - Thanh Hoá
10,36 Limousine,20:00:00,Văn phòng,22:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
11,Vĩnh Quang,10:25:00,Văn phòng,12:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
12,Thành Trung Limousine,20:00:00,Văn phòng,22:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120,Hà Nội - Thanh Hoá
13,Thơm Phụng,16:30:00,Bến xe,18:45:00,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,200000,0,0.0,Wednesday,15-10-2025,135,Hà Nội - Thanh Hoá
14,Đức Phát,13:00:00,Bến xe,15:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150,Hà Nội - Thanh Hoá
15,Vân Anh Limousine,20:00:00,Bến xe,23:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180,Hà Nội - Thanh Hoá
