company_name,departure_time,pickup_point,arrival_time,dropoff_point,price_original,price_discounted,departure_date,start_point,destination,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quality,rating_punctuality,rating_overall,reviewer_count,number_of_seat,duration_minutes
Hoàng Thuỷ,18:45:00,Bến xe,05:45,Bến xe,350000,300000,2025-11-23,Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9,4.8,3545,34,660
Kính Diên Hồng,18:40:00,Bến xe,05:40,Bến xe,350000,315000,2025-11-23,Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.6,4.6,1142,34,660
Vương Tấn Dũng,16:45:00,Bến xe,06:00,Other,380000,320000,2025-11-23,Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,387,34,795
Sinh Diên Hồng,17:30:00,Bến xe,04:15,Bến xe,370000,296000,2025-11-23,Sài Gòn,Gia Lai,4.6,4.7,4.7,4.7,4.6,4.5,4.8,4.5,243,34,645
Phong Phú,20:00:00,Văn phòng,07:45,Văn phòng,530000,399000,2025-11-23,Sài Gòn,Gia Lai,4.5,4.5,4.6,4.5,4.5,4.4,4.8,4.5,8723,24,705
Bảy Lang,18:30:00,Bến xe,05:30,Bến xe,350000,315000,2025-11-23,Sài Gòn,Gia Lai,4.8,4.6,4.6,4.7,4.5,4.6,4.6,4.7,279,34,660
Đức Đạt,20:10:00,Bến xe,06:35,Bến xe,350000,300000,2025-11-23,Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9,4.7,1041,34,625
Tấn Hưng,16:55:00,Bến xe,04:05,Bến xe,650000,400000,2025-11-23,Sài Gòn,Gia Lai,4.5,4.3,4.5,4.5,4.5,4.4,4.1,4.4,105,24,670
Việt Tân Phát,17:15:00,Bến xe,06:10,Bến xe,380000,320000,2025-11-23,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.7,4.6,4.7,4.6,134,34,775
Gia Phú - Gia Lai,18:45:00,Bến xe,05:45,Bến xe,550000,500000,2025-11-23,Sài Gòn,Gia Lai,4.5,4.3,4.4,4.5,4.3,4.2,5.0,4.4,109,22,660
Hoàng Thuỷ,18:30:00,Bến xe,05:30,Bến xe,350000,300000,2025-11-23,Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9,4.8,3545,34,660
Kính Diên Hồng,17:15:00,Bến xe,05:45,Bến xe,350000,315000,2025-11-23,Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.6,4.6,1142,34,750
