bus_name,bus_rating,seat_type,departure_time,pick_up_point,duration,arrival_time,drop_of_point,departure_date,original_price,sale_price,percent_discount,notification,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,start_point,destination,bus_rating_score,bus_rating_count
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:30,• Trạm Hàng Xanh,7h,06:30,• Trạm Nha Trang,(12/10),450000.0,320000.0,-29,Lộ trình: N4 Thủ Đức - Quận 1 - Cao tốc,4.8,4.8,4.8,4.8,4.8,4.8,4.8,Sài Gòn,Nha Trang,4.8,3425
Bình Minh Tải,4.7 (3650),Limousine 22 Phòng Đơn,22:30,• Văn Phòng Quận 1,7h5m,05:35,• Văn phòng Nha Trang,(12/10),350000.0,300000.0,-14,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,Sài Gòn,Nha Trang,4.7,3650
Huỳnh Gia,4.7 (8534),Giường nằm 38 chỗ (WC),22:30,• Văn Phòng Phạm Ngũ Lão,6h30m,05:00,• Văn Phòng Nha Trang,(12/10),280000.0,250000.0,-11,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,8534
An Anh Limousine,4.8 (8322),Limousine 34 Phòng Đơn,23:30,• Văn Phòng Quận 5,6h30m,06:00,• Văn phòng Nha Trang,(12/10),299000.0,199000.0,-33,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,Sài Gòn,Nha Trang,4.8,8322
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),05:15,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,11:25,• Văn Phòng Nha Trang (KS Mường Thanh),,480000.0,400000.0,-17,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,Sài Gòn,Nha Trang,4.7,16845
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine 22 Phòng Đôi Luxury (WC),23:30,• Văn phòng Nguyễn Cư Trinh Quận 1,6h36m,06:06,• Vp Thích Quảng Đức Nha Trang,(12/10),349000.0,304000.0,-13,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,Sài Gòn,Nha Trang,4.9,5826
Bus365,4.7 (165),Limousine 24 phòng đôi,22:00,• Bến Xe Miền Đông Mới,6h,04:00,• Văn Phòng Nha Trang,(12/10),400000.0,289000.0,-28,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,Sài Gòn,Nha Trang,4.7,165
Nam Hải Limousine,4.7 (3463),Limousine 34 giường,22:20,• Văn Phòng Phạm Ngũ Lão,8h,06:20,• Văn Phòng Nha Trang,(12/10),300000.0,270000.0,-10,Lưu ý Đón/Trả tại TP.HCM,4.8,4.7,4.7,4.7,4.7,4.7,4.8,Sài Gòn,Nha Trang,4.7,3463
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,21:00,• Ngã 4 An Sương,7h,04:00,• Văn phòng Nha Trang,(12/10),470000.0,420000.0,-11,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,Sài Gòn,Nha Trang,4.7,1344
Trà Lan Viên,4.4 (4199),Limousine 30 Phòng Đơn (WC),22:15,• Vp. Quận 1,7h20m,05:35,• VP Hà Quang 2,(12/10),280000.0,260000.0,-7,Quý khách lưu ý giường cuối,4.6,4.5,4.5,4.4,4.3,4.3,4.7,Sài Gòn,Nha Trang,4.4,4199
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,5h45m,05:30,• Trạm Nha Trang,(12/10),450000.0,320000.0,-29,Lộ trình: Hàng Xanh - Quận 1 - Cao tốc đến Cam Ranh,4.8,4.8,4.8,4.8,4.8,4.8,4.8,Sài Gòn,Nha Trang,4.8,3425
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),11:00,• Văn Phòng Phạm Ngũ Lão,6h30m,17:30,• Văn Phòng Nha Trang,,280000.0,238000.0,-15,,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,8534
