company_name,departure_time,pickup_point,arrival_time,dropoff_point,price_original,price_discounted,departure_date,start_point,destination,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quality,rating_punctuality,rating_overall,reviewer_count,number_of_seat,duration_minutes
Quang Dũng VIP Limousine,06:50:00,Bến xe,14:35,Văn phòng,550000,495000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.0,3.7,3.8,3.8,3.8,3.6,4.4,3.7,909,32,465
Quang Hạnh,19:00:00,Bến xe,04:25,Bến xe,480000,350000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,366,22,565
Ngọc Phát,17:00:00,Bến xe,04:30,Other,330000,280000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,3.8,3.3,3.3,3.8,3.1,3.0,2.8,3.6,32,44,690
Rạng Đông Buslines,16:30:00,Other,22:45,Other,500000,375000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.5,4.2,4.3,4.4,4.2,4.2,4.7,4.2,1499,34,375
Tài Phát Limousine,17:00:00,Bến xe,02:05,Other,520000,430000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,1280,24,545
Khang Thịnh,18:00:00,Bến xe,03:15,Other,400000,0,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.5,4.3,4.4,4.5,4.3,4.3,4.3,4.3,1753,34,555
Tuấn Tú Express,12:31:00,Văn phòng,21:31,Other,700000,350000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.5,1429,24,540
Tân Quang Dũng,08:00:00,Bến xe,17:30,Other,400000,380000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.0,4.0,3.9,3.8,4.3,3.8,2381,32,570
Như Ý 78,17:00:00,Bến xe,02:40,Other,200000,0,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.5,4.6,4.5,4.5,4.4,4.3,4.5,146,34,580
Hưng Thành,16:40:00,Bến xe,00:00,Other,500000,400000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.9,4.8,4.8,4.7,4.8,70,24,440
Tín Phát Limousine,17:45:00,Văn phòng,00:00,Other,450000,382500,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.9,66,24,375
Nguyên Khang Limousine,18:15:00,Bến xe,23:45,Other,450000,0,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14,24,330
