bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m,start_point,destination
Quang Hạnh,19:30:00,Bến xe,04:55:00,Bến xe,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362,22,480000000,350000000,27.0,Saturday,11-10-2025,565,Sài Gòn,Nha Trang - Khánh Hoà
Phúc An Express,22:15:00,Văn phòng,05:45:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,3425,22,470000000,470000000,0.0,Saturday,11-10-2025,450,Sài Gòn,Nha Trang - Khánh Hoà
Hà Linh,18:00:00,Bến xe,03:30:00,Văn phòng,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,22,300000000,290000000,3.0,Saturday,11-10-2025,570,Sài Gòn,Nha Trang - Khánh Hoà
Việt Nhật,22:30:00,Văn phòng,06:50:00,Văn phòng,4.8,4.7,4.8,4.8,4.6,4.7,4.8,4.7,816,34,280000000,280000000,0.0,Saturday,11-10-2025,500,Sài Gòn,Nha Trang - Khánh Hoà
Quang Dũng VIP Limousine,05:30:00,Bến xe,14:35:00,Văn phòng,4.0,3.8,3.8,3.9,3.8,3.7,4.3,3.7,887,32,550000000,550000000,0.0,Saturday,11-10-2025,545,Sài Gòn,Nha Trang - Khánh Hoà
Long Vân Limousine,13:00:00,Văn phòng,20:00:00,Văn phòng,4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899,22,350000000,315000000,10.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Tài Phát Limousine,20:00:00,Bến xe,03:25:00,Other,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5,1170,24,520000000,450000000,13.0,Saturday,11-10-2025,445,Sài Gòn,Nha Trang - Khánh Hoà
Như Ý 78,18:00:00,Bến xe,02:45:00,Other,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,525,Sài Gòn,Nha Trang - Khánh Hoà
Rạng Đông Buslines,15:01:00,Bến xe,22:46:00,Other,4.5,4.2,4.3,4.3,4.2,4.2,4.6,4.2,1481,34,500000000,400000000,20.0,Saturday,11-10-2025,465,Sài Gòn,Nha Trang - Khánh Hoà
Tuấn Tú Express,14:30:00,Other,21:30:00,Other,4.7,4.6,4.6,4.6,4.5,4.5,4.6,4.5,1392,46,450000000,290000000,36.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Hiếu Vinh,17:01:00,Bến xe,04:01:00,Văn phòng,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,660,Sài Gòn,Nha Trang - Khánh Hoà
Tín Phát Limousine,17:45:00,Văn phòng,01:15:00,Other,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.9,54,24,450000000,405000000,10.0,Saturday,11-10-2025,450,Sài Gòn,Nha Trang - Khánh Hoà
Mười Phương Express,15:00:00,Bến xe,21:45:00,Other,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,34,300000000,270000000,10.0,Saturday,11-10-2025,405,Sài Gòn,Nha Trang - Khánh Hoà
Hưng Thịnh,18:00:00,Other,03:00:00,Other,4.9,4.8,4.9,4.9,4.8,4.8,5.0,4.9,91,24,550000000,450000000,18.0,Saturday,11-10-2025,540,Sài Gòn,Nha Trang - Khánh Hoà
Hoàng Khang,16:00:00,Văn phòng,23:30:00,Other,4.3,3.8,4.1,3.8,3.8,3.8,4.8,3.5,116,34,330000000,295000000,11.0,Saturday,11-10-2025,450,Sài Gòn,Nha Trang - Khánh Hoà
Hưng Thành,16:40:00,Bến xe,00:00:00,Other,4.8,4.6,4.8,4.9,4.8,4.7,4.3,4.8,63,24,500000000,350000000,30.0,Saturday,11-10-2025,440,Sài Gòn,Nha Trang - Khánh Hoà
Đà Lạt ơi,23:45:00,Other,06:30:00,Other,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425,24,450000000,320000000,29.0,Saturday,11-10-2025,405,Sài Gòn,Nha Trang - Khánh Hoà
Đà Lạt ơi,23:49:00,Other,06:30:00,Other,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425,24,450000000,320000000,29.0,Saturday,11-10-2025,401,Sài Gòn,Nha Trang - Khánh Hoà
Đà Lạt ơi,23:30:00,Other,05:30:00,Other,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425,24,450000000,320000000,29.0,Saturday,11-10-2025,360,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,11:45:00,Văn phòng,18:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,20:00:00,Bến xe,04:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,480,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,23:00:00,Văn phòng,05:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Bình Minh Tải,23:00:00,Văn phòng,06:05:00,Văn phòng,4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650,22,395000000,289000000,27.0,Saturday,11-10-2025,425,Sài Gòn,Nha Trang - Khánh Hoà
Bình Minh Tải,12:30:00,Văn phòng,19:35:00,Văn phòng,4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650,32,320000000,250000000,22.0,Saturday,11-10-2025,425,Sài Gòn,Nha Trang - Khánh Hoà
Bình Minh Tải,13:30:00,Bến xe,19:35:00,Văn phòng,4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650,32,320000000,250000000,22.0,Saturday,11-10-2025,365,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,22:10:00,Văn phòng,04:20:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
An Anh Limousine,23:00:00,Văn phòng,05:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322,24,449000000,349000000,22.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,17:30:00,Văn phòng,23:40:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,13:05:00,Văn phòng,19:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,23:00:00,Văn phòng,06:50:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,470,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,05:00:00,Văn phòng,12:50:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,470,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,12:30:00,Văn phòng,20:20:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,470,Sài Gòn,Nha Trang - Khánh Hoà
An Anh Limousine,08:00:00,Other,14:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322,34,299000000,199000000,33.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
An Anh Limousine,22:45:00,Văn phòng,05:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322,34,299000000,199000000,33.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Bus365,22:30:00,Bến xe,04:30:00,Văn phòng,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165,24,400000000,289000000,28.0,Saturday,11-10-2025,360,Sài Gòn,Nha Trang - Khánh Hoà
Bus365,12:30:00,Bến xe,18:30:00,Văn phòng,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165,24,400000000,289000000,28.0,Saturday,11-10-2025,360,Sài Gòn,Nha Trang - Khánh Hoà
Phương Nam,22:05:00,Văn phòng,06:57:00,Văn phòng,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431,32,280000000,280000000,0.0,Saturday,11-10-2025,532,Sài Gòn,Nha Trang - Khánh Hoà
Phương Nam,19:30:00,Văn phòng,04:22:00,Văn phòng,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431,40,240000000,240000000,0.0,Saturday,11-10-2025,532,Sài Gòn,Nha Trang - Khánh Hoà
Trà Lan Viên,22:30:00,Văn phòng,05:50:00,Văn phòng,4.6,4.5,4.5,4.4,4.3,4.3,4.7,4.4,4199,21,450000000,400000000,11.0,Saturday,11-10-2025,440,Sài Gòn,Nha Trang - Khánh Hoà
Xe Nhà,21:00:00,Bến xe,05:30:00,Văn phòng,4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213,40,280000000,240000000,14.0,Saturday,11-10-2025,510,Sài Gòn,Nha Trang - Khánh Hoà
Hạnh Cafe - Hà Phương Limousine,19:30:00,Văn phòng,04:00:00,Văn phòng,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326,36,260000000,240000000,8.0,Saturday,11-10-2025,510,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,20:30:00,Bến xe,04:00:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,450,Sài Gòn,Nha Trang - Khánh Hoà
Hạnh Cafe - Hà Phương Limousine,11:00:00,Văn phòng,19:30:00,Văn phòng,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326,34,300000000,280000000,7.0,Saturday,11-10-2025,510,Sài Gòn,Nha Trang - Khánh Hoà
Hạnh Cafe - Hà Phương Limousine,07:45:00,Văn phòng,19:30:00,Văn phòng,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326,41,260000000,240000000,8.0,Saturday,11-10-2025,705,Sài Gòn,Nha Trang - Khánh Hoà
