bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m,start_point,destination
Khanh Phong,10:30:00,Văn phòng,16:25:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,17:30:00,Văn phòng,23:25:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
An Anh Limousine,22:30:00,Văn phòng,05:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322,24,449000000,349000000,22.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
An Anh Limousine,12:00:00,Other,18:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322,24,449000000,299000000,33.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,20:30:00,Văn phòng,03:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,450000000,6.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,05:15:00,Văn phòng,11:10:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,400000000,17.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,20:05:00,Văn phòng,02:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,22:20:00,Văn phòng,04:15:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,23:10:00,Văn phòng,05:46:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,22,349000000,304000000,13.0,Saturday,11-10-2025,396,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,14:30:00,Văn phòng,20:25:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,13:05:00,Văn phòng,19:00:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,09:00:00,Văn phòng,14:55:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,21:05:00,Văn phòng,03:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:35:00,Văn phòng,05:30:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,11:15:00,Văn phòng,17:10:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,13:30:00,Bến xe,20:20:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,410,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,10:00:00,Văn phòng,15:55:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,23:00:00,Văn phòng,06:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,456000000,5.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,12:05:00,Văn phòng,18:00:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,22:40:00,Văn phòng,04:50:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,16:50:00,Văn phòng,23:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,22:10:00,Văn phòng,04:05:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,23:15:00,Văn phòng,07:05:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,470,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,15:15:00,Văn phòng,21:25:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:25:00,Văn phòng,05:35:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:05:00,Văn phòng,05:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:01:00,Văn phòng,04:56:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:40:00,Văn phòng,05:35:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,13:10:00,Văn phòng,19:05:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:10:00,Văn phòng,05:20:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:25:00,Văn phòng,05:20:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,21:05:00,Văn phòng,03:00:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,14:30:00,Văn phòng,20:40:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:20:00,Văn phòng,05:15:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,22:30:00,Văn phòng,05:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,456000000,5.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,22:30:00,Văn phòng,04:25:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,38,270000000,270000000,0.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:05:00,Văn phòng,05:00:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,08:15:00,Bến xe,16:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,495,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,19:30:00,Bến xe,05:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,280000000,15.0,Saturday,11-10-2025,600,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,07:30:00,Văn phòng,16:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,540,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,21:00:00,Văn phòng,06:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,500000000,300000000,40.0,Saturday,11-10-2025,570,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,08:00:00,Văn phòng,16:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,510,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:10:00,Văn phòng,05:05:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,22:00:00,Other,05:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,280000000,15.0,Saturday,11-10-2025,450,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,22:30:00,Bến xe,05:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,280000000,15.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,06:30:00,Bến xe,16:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,600,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,20:30:00,Văn phòng,06:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,20:00:00,Bến xe,05:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,531000000,299000000,44.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,21:00:00,Văn phòng,06:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,07:30:00,Văn phòng,18:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,11:00:00,Văn phòng,20:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,12:00:00,Văn phòng,21:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,21:45:00,Bến xe,06:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,500000000,300000000,40.0,Saturday,11-10-2025,525,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,06:00:00,Văn phòng,15:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,21:30:00,Văn phòng,07:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,500000000,300000000,40.0,Saturday,11-10-2025,570,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,10:15:00,Văn phòng,18:45:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,510,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,14:30:00,Bến xe,23:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Xe Nhà,21:10:00,Bến xe,05:40:00,Văn phòng,4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213,20,350000000,310000000,11.0,Saturday,11-10-2025,510,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,12:30:00,Bến xe,21:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,10:15:00,Văn phòng,20:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn,Nha Trang - Khánh Hoà
Quang Hạnh,17:30:00,Bến xe,02:55:00,Bến xe,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362,22,480000000,350000000,27.0,Saturday,11-10-2025,565,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,09:30:00,Bến xe,18:30:00,Bến xe,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,571000000,299000000,48.0,Saturday,11-10-2025,540,Sài Gòn,Nha Trang - Khánh Hoà
Hà Linh,20:15:00,Other,05:15:00,Văn phòng,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,22,400000000,379000000,5.0,Saturday,11-10-2025,540,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,13:00:00,Bến xe,23:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,600,Sài Gòn,Nha Trang - Khánh Hoà
Hà Linh,18:15:00,Other,03:15:00,Văn phòng,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,24,680000000,399000000,41.0,Saturday,11-10-2025,540,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,21:00:00,Bến xe,06:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,19:30:00,Văn phòng,05:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,531000000,299000000,44.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,22:30:00,Bến xe,07:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,20:00:00,Other,03:00:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,18:45:00,Other,01:45:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,18:45:00,Other,01:00:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,375,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,11:30:00,Bến xe,20:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,19:15:00,Other,01:45:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,19:45:00,Other,03:00:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,435,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,20:15:00,Other,03:15:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,20:45:00,Other,03:15:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,20:00:00,Other,03:15:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,435,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,09:30:00,Bến xe,18:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,20:15:00,Other,03:00:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,405,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:00:00,Văn phòng,05:10:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,07:30:00,Bến xe,16:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,07:00:00,Văn phòng,16:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,20:00:00,Bến xe,05:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:00:00,Văn phòng,04:55:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,09:45:00,Văn phòng,18:45:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,540,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,08:15:00,Văn phòng,18:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,21:30:00,Bến xe,06:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Quang Hạnh,18:00:00,Bến xe,03:25:00,Bến xe,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362,22,480000000,350000000,27.0,Saturday,11-10-2025,565,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,06:30:00,Bến xe,16:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,620,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,19:30:00,Văn phòng,05:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,19:00:00,Bến xe,04:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,10:00:00,Văn phòng,19:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,09:15:00,Văn phòng,19:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,05:00:00,Bến xe,15:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,620,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,10:30:00,Bến xe,20:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,620,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,10:30:00,Bến xe,19:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,09:30:00,Bến xe,21:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,350000000,35.0,Saturday,11-10-2025,740,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,09:00:00,Bến xe,19:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn,Nha Trang - Khánh Hoà
Hà Linh,22:45:00,Other,04:45:00,Văn phòng,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,34,450000000,320000000,29.0,Saturday,11-10-2025,360,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,22:30:00,Bến xe,08:05:00,Bến xe,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,575,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,11:15:00,Văn phòng,21:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,11:15:00,Văn phòng,22:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,645,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,13:30:00,Văn phòng,23:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,12:30:00,Văn phòng,23:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,11:30:00,Bến xe,22:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,10:00:00,Bến xe,19:35:00,Bến xe,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,575,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,10:00:00,Bến xe,19:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,08:45:00,Văn phòng,19:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,645,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,06:30:00,Bến xe,15:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,05:30:00,Bến xe,15:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,620,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,08:00:00,Bến xe,18:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,600,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,08:30:00,Văn phòng,18:30:00,Bến xe,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,571000000,299000000,48.0,Saturday,11-10-2025,600,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,08:30:00,Văn phòng,18:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,11:30:00,Bến xe,21:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,620,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,06:00:00,Bến xe,15:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,560,Sài Gòn,Nha Trang - Khánh Hoà
