company_name,departure_time,pickup_point,arrival_time,dropoff_point,price_original,price_discounted,departure_date,start_point,destination,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quality,rating_punctuality,rating_overall,reviewer_count,number_of_seat,duration_minutes
Hoàng Thuỷ,18:45:00,Bến xe,05:45,Bến xe,350000,300000,2025-11-21,Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9,4.8,3527,34,660
Vương Tấn Dũng,16:45:00,Bến xe,06:00,Other,380000,320000,2025-11-21,Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,386,34,795
Kính Diên Hồng,18:40:00,Bến xe,05:40,Bến xe,350000,315000,2025-11-21,Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.6,4.6,1140,34,660
Sinh Diên Hồng,17:30:00,Bến xe,04:15,Bến xe,370000,296000,2025-11-21,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.8,4.6,4.6,4.9,4.6,240,34,645
Bảy Lang,18:30:00,Bến xe,05:30,Bến xe,350000,315000,2025-11-21,Sài Gòn,Gia Lai,4.8,4.6,4.6,4.7,4.5,4.6,4.6,4.7,279,34,660
Đức Đạt,20:10:00,Bến xe,06:35,Bến xe,350000,300000,2025-11-21,Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9,4.7,1036,34,625
Thuận Tiến,18:50:00,Bến xe,07:15,Bến xe,350000,350000,2025-11-21,Sài Gòn,Gia Lai,4.7,4.7,4.7,4.6,4.6,4.6,4.8,4.7,4960,34,745
Sáu Bản,18:45:00,Bến xe,05:25,Bến xe,280000,252000,2025-11-21,Sài Gòn,Gia Lai,4.6,4.3,4.5,4.4,4.3,4.4,4.4,4.4,486,44,640
Việt Tân Phát,17:00:00,Bến xe,03:35,Bến xe,380000,300000,2025-11-21,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.7,4.6,4.7,4.6,131,34,635
Gia Phú - Gia Lai,18:45:00,Bến xe,05:45,Bến xe,550000,500000,2025-11-21,Sài Gòn,Gia Lai,4.5,4.3,4.4,4.5,4.3,4.2,5.0,4.4,108,22,660
Hoàng Thuỷ,18:30:00,Bến xe,05:30,Bến xe,350000,300000,2025-11-21,Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9,4.8,3527,34,660
Kính Diên Hồng,19:30:00,Bến xe,07:00,Bến xe,450000,405000,2025-11-21,Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.6,4.6,1140,24,690
Vương Tấn Dũng,16:45:00,Bến xe,06:25,Bến xe,380000,320000,2025-11-21,Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,386,34,820
Sinh Diên Hồng,17:45:00,Bến xe,04:45,Bến xe,380000,304000,2025-11-21,Sài Gòn,Gia Lai,4.7,4.7,4.8,4.8,4.6,4.6,4.9,4.6,240,34,660
Sáu Bản,17:00:00,Bến xe,03:40,Bến xe,280000,252000,2025-11-21,Sài Gòn,Gia Lai,4.6,4.3,4.5,4.4,4.3,4.4,4.4,4.4,486,44,640
