company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Mạnh Quân,4.5 (593),Cabin cung điện 24 phòng,21:00,• Bến xe Mỹ Đình (ô đón khách số 20),(01/11),03:00,• Văn Phòng 75 Cầu Mè (Gần Bến Xe Hà Giang đối diện khách sạn Hoa Cương),6h,350.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,4.6,4.4,4.5,4.4,4.3,4.3,4.8
Bằng Phấn,4.6 (1701),xe Cabin cung điện 24 phòng,13:30,• Văn phòng Mỹ Đình,,20:30,• Bến Xe Hà Giang,7h,350.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,4.7,4.7,4.7,4.6,4.6,4.6,4.8
Vĩnh Thiện,4.3 (40),Limousine giường phòng 24 chỗ,20:30,• Bến xe Gia Lâm,(01/11),04:00,• Bến xe Hà Giang,7h30m,350.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,4.8,4.2,4.2,4.4,4.5,4.6,5.0
Cầu Mè,4.3 (147),Giường nằm 41 chỗ,09:30,• Bến xe Mỹ Đình,,16:30,• Cầu Mè Hotel,7h,250.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,4.5,4.2,4.3,4.4,3.8,4.2,4.0
Đăng Quang (Hà Giang),5 (6),Limousine 24 chỗ,23:00,• 102 Trần Vỹ,(01/11),05:35,• Văn phòng Hà Giang,6h35m,350.000,Từ 300.000đ,-14%,"T6, 31/10/2025",Hà Nội,Hà Giang,,,,,,,
Quang Tuyến (Hà Giang),4.2 (254),Limousine giường phòng 24 chỗ,22:00,• Bến xe Mỹ Đình (ô 46),(01/11),04:30,• Văn phòng Hà Giang,6h30m,350.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,4.4,4.1,4.2,4.1,4.1,4.1,4.3
Quang Nghị,3.9 (714),Giường nằm 46 chỗ,22:30,• Văn Phòng Mỹ Đình,(01/11),05:00,• Bến xe Hà Giang,6h30m,250.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,4.3,4.0,4.1,4.0,4.0,3.8,4.4
Hà Tuấn,3.9 (64),Limousine giường phòng 24 chỗ,12:30,• Văn phòng Hà Nội,,19:00,• Văn phòng Hà Giang,6h30m,350.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,3.8,3.5,3.6,3.9,3.5,3.5,5.0
Đông Bắc Travel,4.9 (38),Xe Limousine 16 chỗ,16:00,• Văn phòng Hà Nội,,22:00,• 165 đường Lý Tự Trọng,6h,300.000,,,"T6, 31/10/2025",Hà Nội,Hà Giang,5.0,5.0,5.0,5.0,5.0,5.0,4.9
Mạnh Hà (Hà Giang),4.5 (34),Giường nằm 44 chỗ,13:50,• Hyundai Long Biên,,19:10,• Bến xe Hà Giang,5h20m,220.000,200.000đ,-9%,"T6, 31/10/2025",Hà Nội,Hà Giang,4.6,4.2,4.4,4.6,4.6,4.4,1.0
