company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Cúc Tùng,3.8 (2847),Limousine giường nằm đơn 21 chỗ (WC),20:00,• Bến xe Bến Cát,(11/11),08:05,• Bến xe Phía Bắc Nha Trang,12h5m,541.000đ,Từ 299.000đ,-45%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.1,4.0,3.9,3.8,4.1
Liên Hưng,4 (13064),Limousine 21 phòng đơn (WC),08:45,• Cầu Vượt Linh Xuân,,16:30,• Văn Phòng Diên Toàn,7h45m,490.000đ,Từ 250.000đ,-49%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.2,4.3,4.1,4.0,3.9,4.3
Phương Nam,4.7 (2478),Giường nằm 40 chỗ có toilet,22:00,• Văn phòng Quận 1,(11/11),08:02,• Ngã 3 ngoài,10h2m,240.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.8,4.8,4.7,4.7,4.7,4.8
Trà Lan Viên,4.4 (4241),Limousine 30 Phòng Đơn (WC),22:30,• Vp. Quận 1,(11/11),05:50,• VP Hà Quang 2,7h20m,280.000đ,200.000đ,-29%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.6,4.5,4.5,4.5,4.3,4.4,4.8
Hà Linh,4.1 (1338),Limousine 32 Phòng Đơn (WC),18:00,• Bến xe Bến Cát,(11/11),04:50,• Bến xe Ninh Hoà,10h50m,390.000đ,300.000đ,-23%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.4,4.3,4.3,4.2,4.0,4.0,4.7
Trọng Thủy Limousine,4.7 (1385),Limousine 24 phòng Đôi,21:00,• Ngã 4 An Sương,(11/11),04:15,• Văn Phòng Nha Trang,7h15m,470.000đ,Từ 380.000đ,-19%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.6,4.7,4.7,4.7,4.7,4.6
Bus365,4.7 (189),Limousine 24 phòng đôi,12:30,• Bến xe Miền Đông Mới,,18:30,• Văn phòng Nha Trang,6h,400.000đ,Từ 289.000đ,-28%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.6,4.7,4.9,4.7,4.7,4.6
Xe Nhà,4.3 (3246),Giường nằm 40 chỗ (WC),22:15,• Văn phòng Quận 1,(11/11),05:30,• VP Nha Trang - Xe Nhà,7h15m,260.000đ,221.000đ,-15%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.3,4.4,4.2,4.0,4.1,4.7
Phúc An Express,4.7 (3452),Limousine 22 giường phòng (WC),20:30,• VP Vũng Tàu,(11/11),05:35,• Văn Phòng Nha Trang,9h5m,470.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Hạnh Cafe - Hà Phương Limousine,4.4 (7445),Limousine 34 Giường,22:15,• Văn phòng Quận 1,(11/11),06:45,• Văn phòng 106 Phong Châu,8h30m,300.000đ,280.000đ,-7%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.6,4.4,4.5,4.4,4.4,4.3,4.8
Việt Nhật,4.7 (820),Limousine 34 Giường,22:30,• Văn phòng Quận 1,(11/11),06:50,• Vp. Nha Trang,8h20m,280.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.6,4.7,4.9
Quang Dũng VIP Limousine,3.7 (909),Giường phòng 32 chỗ (Có WC),06:50,• Bến xe miền Đông mới,,14:35,• Văn phòng Nha Trang,7h45m,550.000đ,495.000đ,-10%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.0,3.7,3.8,3.8,3.8,3.6,4.4
Quang Hạnh (NT),3.6 (366),Limousine 22 phòng đơn (WC),19:00,• Bến xe Miền Tây (Quầy 25),(11/11),04:25,• Bến Xe Phía Nam Nha Trang Mới,9h25m,480.000đ,Từ 350.000đ,-27%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.7,3.9,3.9,3.8,3.6,3.6
Ngọc Phát,3.6 (32),Giường nằm 44 chỗ,17:00,• Bến Xe Vũng Tàu,(11/11),04:30,• Nha Trang (Dọc Quốc Lộ 1A),11h30m,330.000đ,280.000đ,-15%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,3.8,3.3,3.3,3.8,3.1,3.0,2.8
Rạng Đông Buslines,4.2 (1499),Limousine 34 phòng,16:30,• Nhà Xe Thành Công (Chi Nhánh Ngã 4 Bình Phước),,22:45,• Ngã 3 nhà máy sợi Nha Trang,6h15m,500.000đ,375.000đ,-25%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.5,4.2,4.3,4.4,4.2,4.2,4.7
Tài Phát Limousine,5 (1280),Limousine 24 Phòng Đôi,17:00,• Bến Xe Bàu Bàng,(11/11),02:05,• Ngã 3 Thành,9h5m,520.000đ,Từ 430.000đ,-17%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,5.0
Khang Thịnh,4.3 (1753),Limousine 34 phòng,18:00,• Bến xe khách TX. Bến Cát,(11/11),03:15,• Ngã 3 Thành,9h15m,400.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.5,4.3,4.4,4.5,4.3,4.3,4.3
Tuấn Tú Express,4.5 (1429),Limousine 24 Phòng Đôi,12:31,• Văn Phòng Lê Hồng Phong,,21:31,• Khánh Hòa,9h,700.000đ,Từ 350.000đ,-50%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.6,4.6,4.6,4.5,4.5,4.5
Tân Quang Dũng,3.8 (2381),Limousine 32 phòng (WC),08:00,• Bến Xe Vũng Tàu,,17:30,• Ngã 3 Thành,9h30m,400.000đ,380.000đ,-5%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.0,4.0,3.9,3.8,4.3
Như Ý 78 (Phú Yên),4.5 (146),Limousine 34 chỗ,17:00,• Bến xe An Sương (Tp HCM).,(11/11),02:40,• Ninh Hòa (Dọc Quốc Lộ 1A),9h40m,Từ 200.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.5,4.6,4.5,4.5,4.4,4.3
Hưng Thành (Bình Định),4.8 (70),Limousine 24 Phòng,16:40,• Bến xe Miền Tây,(11/11),00:00,• Ngã 3 Thành,7h20m,500.000đ,Từ 400.000đ,-20%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.9,4.8,4.8,4.7
Tín Phát Limousine,4.9 (66),Limousine 24 Phòng,17:45,• Văn Phòng Bình Thạnh,(11/11),00:00,• Ngã 3 Thành,6h15m,450.000đ,Từ 382.500đ,-15%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,4.8
Nguyên Khang Limousine,5 (14),Limousine 24 phòng,18:15,• Bến xe Miền Tây,,23:45,• Ngã 3 Thành,5h30m,Từ 450.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,5.0,5.0,5.0,5.0,5.0,5.0,5.0
