company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Hải Phòng Travel (Đất Cảng),4.4 (1243),Limousine 11 chỗ,08:04,• Hà Nội,,09:34,• Hải Phòng,1h30m,230.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,,,,,,,
Daiichi Travel,4.7 (344),Sơ đồ 45 (Chuẩn),11:00,• Văn phòng 172 Trần Quang Khải,,14:10,• Văn phòng Cát Bà,3h10m,250.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,,,,,,,
Anh Huy Travel,4.6 (998),Ghế ngồi 16 chỗ,14:00,• Văn phòng 61 Trần Đăng Ninh,,16:40,• Văn phòng 97 Hùng Vương (Bến xe Thượng Lý),2h40m,150.000,135.000đ,-10%,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.7,4.6,4.7,4.6,4.5,4.5,4.5
Hoàng Phương Limousine (Hải Phòng),4.4 (95),Limousine 9 chỗ,16:25,• Hà Nội .,,18:25,• Hải Phòng .,2h,230.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.7,4.4,4.5,4.5,4.6,4.3,5.0
Hải Âu,4.8 (7244),Ghế ngồi 45 chỗ,16:00,• BẾN XE GIA LÂM,,17:10,• BẾN XE VĨNH NIỆM,1h10m,130.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.8,4.8,4.9,4.8,4.8,4.8,4.9
Vip Phương Huy Luxury,4.5 (142),Limousine 11 chỗ,17:00,• Văn phòng Hà Nội - Cổ Linh,,18:30,• Văn phòng Hải Phòng,1h30m,220.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.6,4.5,4.6,4.5,4.6,4.6,5.0
Cát Bà Express,5 (108),Ghế ngồi 34 chỗ,10:45,• Văn phòng Hà Nội (214 Trần Quang Khải),,14:15,"• Văn phòng Cát Bà (Số 191 đường Một Tháng Tư, Cát Bà)",3h30m,300.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.9,4.9,4.9,5.0,4.7,4.9,5.0
Kết Đoàn Bus,4.1 (1276),Ghế ngồi 16 chỗ,12:50,• Văn phòng Mỹ Đình,,14:35,• Bến xe Thượng Lý,1h45m,150.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,,,,,,,
Good morning Cát Bà,4.7 (125),Ghế ngồi 45 chỗ,12:30,• Văn phòng Hà Nội,,15:55,• Văn phòng Cát Bà,3h25m,300.000,270.000đ,-10%,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.7,4.6,4.5,4.7,4.5,4.6,4.6
Anh Huy Đất Cảng,4 (182),Ghế ngồi 45 chỗ,15:30,• VP 2/293 Khuất Duy Tiến,,17:20,• Bến xe Thượng Lý,1h50m,150.000,130.000đ,-13%,"T7, 01/11/2025",Hà Nội,Hải Phòng,,,,,,,
Daiichi Travel,4.7 (344),Sơ đồ 90 (Chuẩn),08:00,• Văn phòng 172 Trần Quang Khải,,11:10,• Văn phòng Cát Bà,3h10m,250.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.7,4.7,4.8,4.8,4.5,4.7,4.5
Anh Huy Travel,4.6 (998),Ghế ngồi 16 chỗ,16:00,• Văn phòng 61 Trần Đăng Ninh,,18:40,• Văn phòng 97 Hùng Vương (Bến xe Thượng Lý),2h40m,150.000,135.000đ,-10%,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.7,4.6,4.7,4.6,4.5,4.5,4.5
Hải Phòng Travel (Đất Cảng),4.4 (1243),Limousine 11 chỗ,15:04,• Hà Nội,,16:34,• Hải Phòng,1h30m,230.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.5,4.3,4.3,4.4,4.4,4.3,4.4
Hải Âu,4.8 (7244),Ghế ngồi 45 chỗ,19:30,• BẾN XE GIA LÂM,,20:40,• BẾN XE VĨNH NIỆM,1h10m,130.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.8,4.8,4.9,4.8,4.8,4.8,4.9
Hoàng Phương Limousine (Hải Phòng),4.4 (95),Limousine 9 chỗ,10:00,• Hà Nội .,,12:00,• Hải Phòng .,2h,230.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.7,4.4,4.5,4.5,4.6,4.3,5.0
Vip Phương Huy Luxury,4.5 (142),Limousine 11 chỗ,06:00,• Văn phòng Hà Nội - Cổ Linh,,07:30,• Văn phòng Hải Phòng,1h30m,220.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.6,4.5,4.6,4.5,4.6,4.6,5.0
Kết Đoàn Bus,4.1 (1276),Ghế ngồi 16 chỗ,05:20,• Văn phòng Mỹ Đình,,07:05,• Bến xe Thượng Lý,1h45m,150.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.4,4.1,4.3,4.3,4.3,4.3,4.4
Anh Huy Đất Cảng,4 (182),Ghế ngồi 45 chỗ,14:30,• VP 2/293 Khuất Duy Tiến,,16:20,• Bến xe Thượng Lý,1h50m,150.000,130.000đ,-13%,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.4,3.9,3.9,3.9,4.2,4.0,4.8
Hoàng Phú Limousine,4 (247),Limousine 9 chỗ,07:00,• Văn phòng Hà Nội,,08:30,• Văn phòng Hải Phòng,1h30m,220.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,,,,,,,
Good morning Cát Bà,4.7 (125),Ghế ngồi 45 chỗ,14:00,• Văn phòng Hà Nội,,17:25,• Văn phòng Cát Bà,3h25m,300.000,270.000đ,-10%,"T7, 01/11/2025",Hà Nội,Hải Phòng,,,,,,,
Cát Bà Luxury,3.7 (6),Xe 45 chỗ,10:30,• Văn phòng Hà Nội,,13:30,• Văn phòng Cát Bà,3h,300.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.2,3.7,3.7,3.7,3.7,3.7,3.7
Duy Khánh Limousine,3.9 (666),Limousine 9 chỗ,20:20,• VP Cổ Linh,,21:50,• VP Hải Phòng,1h30m,180.000,,,"T7, 01/11/2025",Hà Nội,Hải Phòng,4.0,4.0,4.1,4.0,3.9,3.8,4.1
