company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Hoàng Thuỷ,4.7 (3485),Limousine 34 Giường VIP,18:45,• Bến xe Miền Đông - Quầy vé 37,(13/11),05:45,• Bến Xe Đức Long Gia Lai,11h,350.000đ,300.000đ,-14%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9
Sinh Diên Hồng,4.6 (237),Limousine 34 chỗ,17:30,• Bến xe An Sương,(13/11),04:15,• Bến Xe Đức Long Gia Lai,10h45m,370.000đ,296.000đ,-20%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.8,4.6,4.6,4.9
Phong Phú,4.5 (8677),Limousine 24 phòng đôi,20:00,• Văn phòng Hoàng Văn Thụ.,(13/11),07:45,• VP Gia Lai,11h45m,530.000đ,Từ 399.000đ,-25%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.5,4.5,4.6,4.5,4.4,4.4,4.7
Kính Diên Hồng,4.6 (1135),Limousine giường nằm 34 chỗ,18:40,• Bến Xe Miền Đông - Quầy vé 19,(13/11),05:40,• Bến Xe Đức Long Gia Lai,11h,350.000đ,,,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.5
Đức Đạt,4.7 (1027),Limousine giường nằm 34 chỗ,20:10,• Bến xe Miền Đông - Quầy vé 17,(13/11),06:35,• Bến Xe Đức Long Gia Lai,10h25m,350.000đ,300.000đ,-14%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9
Vương Tấn Dũng,4.8 (386),Limousine 34 Phòng,16:45,• VP QL13,(13/11),06:00,• An Khê - Quốc Lộ 19,13h15m,380.000đ,320.000đ,-16%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9
Thuận Tiến,4.7 (4957),Limousine 34 giường,18:50,• Bến xe Miền Đông - Quầy vé 24,(13/11),07:15,• Bến Xe Đức Long Gia Lai,12h25m,350.000đ,,,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.6,4.9
Bảy Lang,4.7 (279),Limousine 34 giường,18:30,"• Bến xe Miền Đông cũ (dãy số 6, ô C14)",(13/11),05:30,• Bến Xe Đức Long Gia Lai,11h,350.000đ,,,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.8,4.6,4.6,4.7,4.5,4.6,4.6
Tấn Hưng (Gia Lai),4.4 (104),Limousine 24 Phòng,17:30,• Bến Xe Miền Đông - Phòng vé số 77,(13/11),06:55,• VP An Khê,13h25m,650.000đ,399.000đ,-39%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.5,4.3,4.5,4.5,4.5,4.4,4.0
Gia Phú - Gia Lai,4.4 (108),Limousine 22 phòng đơn,18:45,• Bến xe Miền Đông - Quầy vé 36,(13/11),05:45,• Bến Xe Đức Long Gia Lai,11h,550.000đ,500.000đ,-9%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.5,4.3,4.4,4.5,4.3,4.2,5.0
Hoàng Thuỷ,4.7 (3485),Limousine giường phòng 24 chỗ,19:00,• Bến xe Miền Đông - Quầy vé 37,(13/11),06:00,• Bến Xe Đức Long Gia Lai,11h,550.000đ,Từ 350.000đ,-36%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9
Kính Diên Hồng,4.6 (1135),Limousine giường nằm 34 chỗ,18:40,• Bến Xe Miền Đông - Quầy vé 19,(13/11),06:10,• Bến xe Đắk Đoa,11h30m,350.000đ,,,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.5
Vương Tấn Dũng,4.8 (386),Limousine 24 Phòng,17:00,• VP QL13,(13/11),06:40,• Bến xe khách Kbang,13h40m,500.000đ,Từ 450.000đ,-10%,"T4, 12/11/2025",Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9
