company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Hoàng Thuỷ,4.8 (3545),Limousine 34 Giường VIP,18:45,• Bến xe Miền Đông - Quầy vé 37,(24/11),05:45,• Bến Xe Đức Long Gia Lai,11h,350.000đ,300.000đ,-14%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9
Kính Diên Hồng,4.6 (1142),Limousine giường nằm 34 chỗ,18:40,• Bến Xe Miền Đông - Quầy vé 19,(24/11),05:40,• Bến Xe Đức Long Gia Lai,11h,350.000đ,315.000đ,-10%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.6
Vương Tấn Dũng,4.8 (387),Limousine 34 Phòng,16:45,• Bến xe Miền Đông (Cổng 4 - Dãy 2 A10),(24/11),06:00,• An Khê - Quốc Lộ 19,13h15m,380.000đ,320.000đ,-16%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9
Sinh Diên Hồng,4.5 (243),Limousine 34 chỗ,17:30,• Bến xe An Sương,(24/11),04:15,• Bến Xe Đức Long Gia Lai,10h45m,370.000đ,296.000đ,-20%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.6,4.7,4.7,4.7,4.6,4.5,4.8
Phong Phú,4.5 (8723),Limousine 24 phòng đôi,20:00,• Văn phòng Hoàng Văn Thụ.,(24/11),07:45,• VP Gia Lai,11h45m,530.000đ,Từ 399.000đ,-25%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.5,4.5,4.6,4.5,4.5,4.4,4.8
Bảy Lang,4.7 (279),Limousine 34 giường,18:30,"• Bến xe Miền Đông Cũ (Dãy số 6, ô C14)",(24/11),05:30,• Bến Xe Đức Long Gia Lai,11h,350.000đ,315.000đ,-10%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.8,4.6,4.6,4.7,4.5,4.6,4.6
Đức Đạt,4.7 (1041),Limousine giường nằm 34 chỗ,20:10,• Bến xe Miền Đông - Quầy vé 17,(24/11),06:35,• Bến Xe Đức Long Gia Lai,10h25m,350.000đ,300.000đ,-14%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9
Tấn Hưng (Gia Lai),4.4 (105),Limousine 24 Phòng,16:55,• Bến Xe Miền Đông - Phòng vé số 77,(24/11),04:05,• Bến xe Đức Long Gia Lai,11h10m,650.000đ,400.000đ,-38%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.5,4.3,4.5,4.5,4.5,4.4,4.1
Việt Tân Phát,4.6 (134),34 Phòng,17:15,• Bến xe Miền Đông,(24/11),06:10,• Bến xe thị xã An Khê,12h55m,380.000đ,320.000đ,-16%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.7,4.6,4.7
Gia Phú - Gia Lai,4.4 (109),Limousine 22 phòng đơn,18:45,• Bến xe Miền Đông - Quầy vé 36,(24/11),05:45,• Bến Xe Đức Long Gia Lai,11h,550.000đ,500.000đ,-9%,"CN, 23/11/2025",Sài Gòn,Gia Lai,4.5,4.3,4.4,4.5,4.3,4.2,5.0
