company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),10:00,• Văn phòng Phạm Ngũ Lão,,15:55,• Co.opMart Nha Trang,5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),15:15,• Văn phòng Phạm Ngũ Lão,,21:25,• Văn Phòng Nha Trang (KS Mường Thanh),6h10m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),23:10,• Văn phòng Phạm Ngũ Lão - Quận 1,(02/11),05:20,• Văn phòng Nha Trang,6h10m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),17:30,• Văn phòng Phạm Ngũ Lão,,23:25,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),23:20,• Văn phòng Phạm Ngũ Lão,(02/11),05:15,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),23:01,• Văn phòng Phạm Ngũ Lão,(02/11),04:56,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),23:05,• Văn phòng Phạm Ngũ Lão,(02/11),05:15,• Văn phòng Nha Trang,6h10m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),10:30,• Văn phòng Phạm Ngũ Lão,,16:25,• Co.opMart Nha Trang,5h55m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),23:35,• Văn phòng Phạm Ngũ Lão,(02/11),05:30,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),22:15,• Văn phòng Phạm Ngũ Lão,(02/11),04:25,• Văn phòng Nha Trang,6h10m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),23:40,• Văn phòng Phạm Ngũ Lão,(02/11),05:50,• Văn phòng Nha Trang,6h10m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),13:10,• Văn phòng Phạm Ngũ Lão,,19:05,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),11:15,• Văn phòng Phạm Ngũ Lão,,17:10,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Giường nằm 38 chỗ (WC),22:30,• Văn phòng Phạm Ngũ Lão,(02/11),04:40,• Văn phòng Nha Trang,6h10m,270.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),21:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,(02/11),03:00,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),23:10,• Văn phòng Phạm Ngũ Lão - Quận 1,(02/11),05:05,• Co.opMart Nha Trang,5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),23:40,• Văn phòng Phạm Ngũ Lão,(02/11),05:35,• Co.opMart Nha Trang,5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),14:30,• Văn phòng Phạm Ngũ Lão,,20:40,• Văn Phòng Nha Trang (KS Mường Thanh),6h10m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),22:15,• Văn phòng Phạm Ngũ Lão,(02/11),04:10,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),23:25,• Văn phòng Phạm Ngũ Lão,(02/11),05:20,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),23:05,• Văn phòng Phạm Ngũ Lão,(02/11),05:00,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
