,bus_name,bus_rating,seat_type,departure_time,pick_up_point,arrival_date,arrival_time,drop_of_point,duartion,original_price,sale_price,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,
21,HM Happycar,4.6 (264),Limousine 24 phòng KL VIP,20:00,• 1 Tân An Bình (Hà Nội),,23:00,• Thanh Hóa,3h,300.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.6,4.5,4.6,4.5,4.6,4.5,4.6,
22,Phú Quý,4.3 (468),Limousine giường phòng 22 phòng (WC) (new),22:40,• Bến xe Nước Ngầm,(16/10),01:40,• BigC Thanh Hóa,3h,400.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,4.3,4.4,4.5,4.1,4.2,4.9,
23,Bảo Ngọc Limousine,4.2 (18),Limousine giường nằm 32 chỗ,17:00,• Bến xe Nước Ngầm,,19:25,• BigC Thanh Hóa,2h25m,220.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.9,4.9,4.9,4.2,4.2,5.0,
24,36 Limousine,4.8 (502),Limousine 11 chỗ,15:00,• Văn phòng Đồng Tàu,,17:30,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
25,36 Limousine,4.8 (502),Limousine 11 chỗ,05:30,• Văn phòng Đồng Tàu,,08:00,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
26,36 Limousine,4.8 (502),Limousine 11 chỗ,18:00,• Văn phòng Đồng Tàu,,20:30,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
27,Thành Trung Limousine,4 (113),Limousine 11 chỗ,15:00,• Văn phòng Hà Nội,,17:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
28,Thành Trung Limousine,4 (113),Limousine 11 chỗ,19:00,• Văn phòng Hà Nội,,21:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
29,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,20:00,• Bến xe Nước Ngầm,,22:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
30,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,16:00,• Văn Phòng Hà Nội,,18:30,• Bến xe phía Tây Thanh Hóa,2h30m,210.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
