,bus_name,bus_rating,seat_type,departure_time,pick_up_point,arrival_date,arrival_time,drop_of_point,duartion,original_price,sale_price,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,
92,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,10:00,• Bến xe Nước Ngầm,,12:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
93,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,12:05,• Bến xe Nước Ngầm,,14:35,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
94,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,14:00,• Bến xe Giáp Bát,,16:30,• Bến xe Phía Bắc Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
95,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,07:05,• Bến xe Nước Ngầm,,09:35,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
96,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,04:35,• Bến xe Nước Ngầm,,07:05,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
97,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,16:05,• Bến xe Nước Ngầm,,18:35,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
98,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,13:05,• Bến xe Nước Ngầm,,15:35,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
99,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,19:00,• Bến xe Nước Ngầm,,21:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
100,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,13:00,• Văn phòng Hoàng Mai,,15:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
101,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,17:00,• Bến xe Nước Ngầm,,20:00,• Bến xe Hoằng Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
102,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,20:05,• Bến xe Nước Ngầm,,22:35,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
103,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,14:00,• Bến xe Nước Ngầm,,16:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
104,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,17:00,• Bến xe Nước Ngầm,,20:00,• Bến xe khách Sầm Sơn,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
105,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,20:00,• Bến xe Nước Ngầm,,23:00,• Bến xe phía bắc Thanh Hóa,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
106,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,15:00,• Bến xe Nước Ngầm,,18:00,• Bến xe Hoằng Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
107,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,14:00,• Bến xe Nước Ngầm,,17:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
108,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,19:00,• Bến xe Giáp Bát,,21:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
109,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,21:00,• Văn Phòng Hà Nội,,23:30,• Bến xe phía Tây Thanh Hóa,2h30m,210.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
110,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,11:30,• Bến xe Nước Ngầm,,15:00,• Văn Phòng Nghi Sơn,3h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
111,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,07:00,• Bến xe Nước Ngầm,,10:00,• Bến xe Hoằng Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
112,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,11:00,• Bến xe Nước Ngầm,,13:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
113,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,11:00,• Bến xe Nước Ngầm,,14:00,• Bến xe khách Sầm Sơn,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
114,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,15:00,• Bến xe Nước Ngầm,,18:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
115,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,17:00,• Văn phòng Hoàng Mai,,19:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
116,Vĩnh Quang,4.8 (25),Limousine 10 chỗ,15:25,• VP Linh Đàm,,17:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,
117,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,17:00,• Bến xe Nước Ngầm,,19:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
118,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,14:05,• Bến xe Nước Ngầm,,16:35,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
119,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,21:00,• Bến xe Nước Ngầm,,23:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
120,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,19:00,• Bến xe Nước Ngầm,,22:00,• Bến xe Hoằng Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
121,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,19:00,• Văn Phòng Hà Nội,,21:30,• Bến xe phía Tây Thanh Hóa,2h30m,210.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
122,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,20:00,• Bến xe Nước Ngầm,,23:00,• Bến xe khách Sầm Sơn,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
123,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,18:00,• Bến xe Nước Ngầm,,21:00,• Bến xe khách Sầm Sơn,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
124,36 Limousine,4.8 (502),Limousine 11 chỗ,05:31,• Văn phòng Đồng Tàu,,08:01,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
125,Thành Trung Limousine,4 (113),Limousine 11 chỗ,12:00,• Văn phòng Hà Nội,,14:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
126,36 Limousine,4.8 (502),Limousine 11 chỗ,16:00,• Văn phòng Đồng Tàu,,18:30,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
127,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,06:00,• Văn Phòng Hà Nội,,08:30,• Văn phòng Hậu Lộc,2h30m,200.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
128,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,06:00,• Văn Phòng Hà Nội,,08:00,• Văn phòng Bỉm Sơn,2h,180.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
129,Thành Trung Limousine,4 (113),Limousine 11 chỗ,09:00,• Văn phòng Hà Nội,,11:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
130,36 Limousine,4.8 (502),Limousine 11 chỗ,21:00,• Văn phòng Đồng Tàu,,23:30,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
131,Thành Trung Limousine,4 (113),Limousine 11 chỗ,13:00,• Văn phòng Hà Nội,,15:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
132,Thành Trung Limousine,4 (113),Limousine 11 chỗ,10:00,• Văn phòng Hà Nội,,12:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
133,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,11:00,• Bến xe Nước Ngầm,,14:00,• Bến xe khách Triệu Sơn,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
134,Thành Trung Limousine,4 (113),Limousine 11 chỗ,16:00,• Văn phòng Hà Nội,,18:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
135,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,14:00,• Bến xe Nước Ngầm,,17:00,• Bến xe khách Triệu Sơn,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
136,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,13:00,• Bến xe Nước Ngầm,,16:00,• Bến xe khách Triệu Sơn,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
137,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,09:00,• Văn phòng Hoàng Mai,,11:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
138,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,10:00,• Văn phòng Hoàng Mai,,12:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
139,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,11:00,• Văn phòng Hoàng Mai,,13:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
140,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,22:00,• Bến xe Nước Ngầm,(16/10),00:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
141,An Phát (Thanh Hóa),4 (23),Ghế ngồi 7 chỗ,11:00,• Văn Phòng Hà Nội,,14:00,• VP Thanh Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,
142,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,08:00,• Văn phòng Hoàng Mai,,10:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
143,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,08:00,• Văn phòng Hoàng Mai,,10:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
144,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,15:00,• Văn phòng Hoàng Mai,,17:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
145,Vĩnh Quang,4.8 (25),Limousine 10 chỗ,14:25,• VP Linh Đàm,,16:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,
146,An Phát (Thanh Hóa),4 (23),Ghế ngồi 7 chỗ,14:00,• Văn Phòng Hà Nội,,17:00,• VP Thanh Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,
147,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,19:00,• Bến xe Nước Ngầm,,22:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
148,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,15:00,• Bến xe Nước Ngầm,,18:00,• Bến xe khách Triệu Sơn,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
149,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,12:00,• Bến xe Nước Ngầm,,15:00,• Bến xe phía bắc Thanh Hóa,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
150,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,11:00,• Văn phòng Hoàng Mai,,13:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
151,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,16:00,• Văn phòng Hoàng Mai,,18:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
152,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,13:00,• Văn phòng Hoàng Mai,,15:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
153,An Phát (Thanh Hóa),4 (23),Ghế ngồi 7 chỗ,17:00,• Văn Phòng Hà Nội,,20:00,• VP Thanh Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,
154,Vĩnh Quang,4.8 (25),Limousine 10 chỗ,16:25,• VP Linh Đàm,,18:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,
155,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,07:00,• Văn Phòng Hà Nội,,09:30,• Bến xe phía Tây Thanh Hóa,2h30m,210.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
156,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,10:00,• Văn phòng Hoàng Mai,,12:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
157,Vĩnh Quang,4.8 (25),Limousine 10 chỗ,18:25,• VP Linh Đàm,,20:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,
158,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,18:00,• Bến xe Nước Ngầm,,21:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
159,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,18:00,• Bến xe Nước Ngầm,,21:00,• Bến xe khách Triệu Sơn,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
160,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,12:00,• Văn phòng Hoàng Mai,,14:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
161,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,22:00,• Văn Phòng Hà Nội,(16/10),00:30,• Bến xe phía Tây Thanh Hóa,2h30m,210.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
162,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,14:00,• Bến xe Nước Ngầm,,17:00,• Bến xe phía bắc Thanh Hóa,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
163,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,22:00,• Bến xe Nước Ngầm,(16/10),01:00,• Bến xe phía bắc Thanh Hóa,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
164,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,22:30,• Bến xe Nước Ngầm,(16/10),02:00,• Văn Phòng Nghi Sơn,3h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
165,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,17:00,• Văn phòng Hoàng Mai,,19:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
166,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,17:00,• Bến xe Nước Ngầm,,20:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
167,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,12:00,• Bến xe Nước Ngầm,,15:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
168,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,20:00,• Bến xe Nước Ngầm,,23:00,• Bến xe khách Triệu Sơn,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
169,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,06:00,• Văn phòng Hoàng Mai,,08:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
170,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,21:00,• Bến xe Nước Ngầm,(16/10),00:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
171,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,19:30,• Bến xe Nước Ngầm,,23:00,• Văn Phòng Nghi Sơn,3h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
172,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,09:00,• Văn phòng Hoàng Mai,,11:20,• Văn phòng Triệu Sơn,2h20m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
173,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,15:00,• Bến xe Nước Ngầm,,18:00,• Bến xe khách Sầm Sơn,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
174,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,21:30,• Bến xe Nước Ngầm,(16/10),01:00,• Văn Phòng Nghi Sơn,3h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
175,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,21:30,• Bến xe Nước Ngầm,(16/10),00:30,• Văn Phòng Quảng Xương,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
176,Bình Hoài Limousine,4 (297),Limousine 10 chỗ,20:00,• Văn phòng Hoàng Mai,,22:50,• Tượng đài Lê Lợi,2h50m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,
177,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,17:00,• Bến xe Nước Ngầm,,20:00,• Bến xe khách Triệu Sơn,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
178,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,14:00,• Bến xe Giáp Bát,,17:20,• Bến xe Hoằng Hóa,3h20m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
179,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,19:00,• Bến xe Nước Ngầm,,22:00,• Bến xe phía bắc Thanh Hóa,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
180,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,11:30,• Bến xe Nước Ngầm,,14:30,• Văn Phòng Quảng Xương,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
181,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,22:30,• Bến xe Nước Ngầm,(16/10),01:30,• Văn Phòng Quảng Xương,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
182,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,12:30,• Bến xe Nước Ngầm,,16:00,• Văn Phòng Nghi Sơn,3h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
183,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,14:30,• Bến xe Nước Ngầm,,17:30,• Văn Phòng Quảng Xương,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
184,An Phát (Thanh Hóa),4 (23),Ghế ngồi 7 chỗ,08:00,• Văn Phòng Hà Nội,,11:00,• VP Thanh Hóa,3h,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,
185,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,16:30,• Bến xe Nước Ngầm,,20:00,• Văn Phòng Nghi Sơn,3h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
186,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,14:00,• Bến xe Nước Ngầm,,17:00,• Bến xe khách Sầm Sơn,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
